Time (seconds),Git Update
0,0
0.5,0
1,0
1.5,0
2,8
2.5,0
3,0
3.5,6
4,0
4.5,0
5,4
5.5,0
6,0
6.5,0
7,0
7.5,0
8,5
8.5,0
9,0
9.5,4
10,0
10.5,2
11,0
11.5,0
12,0
12.5,0
13,12
13.5,0
14,0
14.5,0
15,0
15.5,4
16,0
16.5,0
17,0
17.5,5
18,0
18.5,0
19,0
19.5,0
20,0
20.5,0
21,5
21.5,0
22,4
22.5,0
23,0
23.5,0
24,1
24.5,0
25,0
25.5,5
26,0
26.5,0
27,0
27.5,8
28,0
28.5,0
29,4
29.5,0
30,0
30.5,0
31,1
31.5,0
32,0
32.5,1
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,3
37.5,0
38,0
38.5,4
39,0
39.5,0
40,0
40.5,9
41,0
41.5,0
42,0
42.5,0
43,2
43.5,0
44,1
44.5,0
45,2
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
