Time (seconds),Attack Probability,Adaptation Action,Adaptation Threshold
0,0.07090806931,0,0.6
0.5,0.02018425175,0,0.6
1,0.1400331207,0,0.6
1.5,0.911417021,0,0.6
2,0.7982109588,0,0.6
2.5,0.8327042817,0,0.6
3,0.04111602888,0,0.6
3.5,0.1706634767,0,0.6
4,0.1553727222,0,0.6
4.5,0.1187989984,0,0.6
5,0.784405244,0,0.6
5.5,0.8243921536,0,0.6
6,0.7734780108,0,0.6
6.5,0.7859517341,0,0.6
7,0.7729724128,0,0.6
7.5,0.02275106686,0,0.6
8,0.06828923805,0,0.6
8.5,0.03965495711,0,0.6
9,0.1467771435,0,0.6
9.5,0.1035562365,0,0.6
10,0.03209608037,0,0.6
10.5,0.165088893,0,0.6
11,0.1628110177,0,0.6
11.5,0.06315232503,0,0.6
12,0.01373904354,0,0.6
12.5,0.1268642288,0,0.6
13,0.1500595805,0,0.6
13.5,0.1882085235,0,0.6
14,0.07733761665,0,0.6
14.5,0.1467580254,0,0.6
15,0.1645885152,0,0.6
15.5,0.1338125366,0,0.6
16,0.1031672298,0,0.6
16.5,0.09240082299,1,0.6
17,0.03660142623,1,0.6
17.5,0.1665762296,1,0.6
18,0.1517958175,1,0.6
18.5,0.08864223112,1,0.6
19,0.1472279071,1,0.6
19.5,0.09235227139,1,0.6
20,0.1163728412,1,0.6
20.5,0.05533958776,1,0.6
21,0.1228006554,1,0.6
21.5,0.09227384577,1,0.6
22,0.05597243632,1,0.6
22.5,0.05436387523,1,0.6
23,0.09313655929,1,0.6
23.5,0.02930617403,1,0.6
24,0.04293137853,1,0.6
24.5,0.03271866935,1,0.6
25,0.1910006599,1,0.6
25.5,0.1072251696,1,0.6
26,0.02841152165,1,0.6
26.5,0.1340193808,1,0.6
27,0.1318460279,1,0.6
27.5,0.06491499907,1,0.6
28,0.1329556205,1,0.6
28.5,0.01718176203,1,0.6
29,0.006086670721,1,0.6
29.5,0.171103042,1,0.6
30,0.1025942865,1,0.6
30.5,0.1690199768,1,0.6
31,0.04057452732,1,0.6
31.5,0.1481271236,1,0.6
32,0.03610109621,1,0.6
32.5,0.02655640107,0,0.6
33,0.04161586309,0,0.6
33.5,0.1980566646,0,0.6
34,0.08528175451,0,0.6
34.5,0.03519657396,0,0.6
35,0.1187762319,0,0.6
35.5,0.1304657478,0,0.6
36,0.05772243989,0,0.6
36.5,0.1605245225,0,0.6
37,0.1068874044,0,0.6
37.5,0.1983828013,0,0.6
38,0.1102113741,0,0.6
38.5,0.04432509442,0,0.6
39,0.05308362749,0,0.6
39.5,0.03741813058,0,0.6
40,0.0110868563,0,0.6
40.5,0.1495415799,0,0.6
41,0.01635867823,0,0.6
41.5,0.07279705093,0,0.6
42,0.1710539214,0,0.6
42.5,0.07422842267,0,0.6
43,0.0390492022,0,0.6
43.5,0.1100029805,0,0.6
44,0.1945509963,0,0.6
44.5,0.1311604186,0,0.6
45,0.0928139775,0,0.6
45.5,0.1569614449,0,0.6
46,0.08753687315,0,0.6
46.5,0.08761129592,0,0.6
47,0.07609267112,0,0.6
47.5,0.03917235969,0,0.6
48,0.07260742496,0,0.6
