Time (seconds),Attack Probability,Adaptation Action,Adaptation Threshold
0,0.1231177283,0,0.7
0.5,0.1520600207,0,0.7
1,0.03104264376,0,0.7
1.5,0.1678632233,0,0.7
2,0.1855128259,0,0.7
2.5,0.05882909142,0,0.7
3,0.1993108758,0,0.7
3.5,0.01436160523,0,0.7
4,0.101812788,0,0.7
4.5,0.1011039632,0,0.7
5,0.1650609291,0,0.7
5.5,0.147031444,0,0.7
6,0.1702702628,0,0.7
6.5,0.8569274522,0,0.7
7,0.8529230126,0,0.7
7.5,0.8206646912,0,0.7
8,0.868157685,0,0.7
8.5,0.8354306716,0,0.7
9,0.8729294359,0,0.7
9.5,0.131601656,0,0.7
10,0.1100975718,0,0.7
10.5,0.02128873802,0,0.7
11,0.1207984187,0,0.7
11.5,0.06838133195,0,0.7
12,0.05118240708,0,0.7
12.5,0.09403221821,0,0.7
13,0.1411566822,0,0.7
13.5,0.1653670171,0,0.7
14,0.1542715403,0,0.7
14.5,0.12913482,0,0.7
15,0.1093761994,0,0.7
15.5,0.1115041198,0,0.7
16,0.133291096,0,0.7
16.5,0.02062732775,1,0.7
17,0.1354300587,1,0.7
17.5,0.1392539221,1,0.7
18,0.005919719431,1,0.7
18.5,0.1314255763,1,0.7
19,0.1857280633,1,0.7
19.5,0.04704965521,1,0.7
20,0.7596325328,1,0.7
20.5,0.7826532209,1,0.7
21,0.7405198067,1,0.7
21.5,0.7846566509,1,0.7
22,0.1033400306,1,0.7
22.5,0.08500422692,1,0.7
23,0.03849202682,1,0.7
23.5,0.1991383508,1,0.7
24,0.06195967528,1,0.7
24.5,0.1071975675,1,0.7
25,0.04399634461,1,0.7
25.5,0.171296281,1,0.7
26,0.09142049827,1,0.7
26.5,0.1030675968,1,0.7
27,0.1824208257,1,0.7
27.5,0.08136178459,1,0.7
28,0.5881798742,1,0.7
28.5,0.5897305215,1,0.7
29,0.5818619665,1,0.7
29.5,0.6046955226,1,0.7
30,0.08081529672,1,0.7
30.5,0.05937544235,1,0.7
31,0.07624022194,1,0.7
31.5,0.08919083215,1,0.7
32,0.1716390171,1,0.7
32.5,0.01575706662,1,0.7
33,0.01130883798,1,0.7
33.5,0.04488697516,1,0.7
34,0.04253342839,1,0.7
34.5,0.1670325442,1,0.7
35,0.176896487,1,0.7
35.5,0.06949570498,1,0.7
36,0.003526036676,1,0.7
36.5,0.03854319283,1,0.7
37,0.1404112579,1,0.7
37.5,0.0183717145,1,0.7
38,0.1355962228,1,0.7
38.5,0.1857497819,1,0.7
39,0.0903492812,1,0.7
39.5,0.183583991,1,0.7
40,0.05980918748,1,0.7
40.5,0.02365972428,1,0.7
41,0.04722066144,1,0.7
41.5,0.09905299916,1,0.7
42,0.01541994208,1,0.7
42.5,0.06149047961,1,0.7
43,0.02906620676,1,0.7
43.5,0.1301630262,1,0.7
44,0.1642142217,1,0.7
44.5,0.05871302797,1,0.7
45,0.09478886743,1,0.7
45.5,0.03948169134,1,0.7
46,0.0205797346,1,0.7
46.5,0.0524082395,1,0.7
47,0.03637524861,1,0.7
47.5,0.04463286669,1,0.7
48,0.0702777033,1,0.7
